recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Mexican-style Firm Tofu with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,389,503,29,31.9,41.7,24.3,43.5,19.8,21.6,""
"Moroccan-spiced 0% Greek Yogurt with White Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,209,207,-1,18.2,19.6,25.1,26.6,2.8,3,""
"BBQ Quorn Mince with White Basmati Rice & Kale","20260702000001_seed_owner_meals.sql",apply,2,342,351,3,25.5,29.2,36.2,38.6,9.8,9.8,""
"Indian-spiced Egg Whites with Wholewheat Pasta & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,273,305,12,23.4,25.1,31.6,36.4,6.3,7.3,""
"Cajun Seitan with Wholewheat Pasta & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,480,458,-5,44.4,46.2,51.5,46.9,9,9.6,""
"BBQ Haddock Fillet with Rolled Oats & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,296,252,-15,36.2,30.1,16.8,16.7,7.2,7.2,""
"Indian-spiced Chicken Breast with White Basmati Rice & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,429,445,4,49.5,51.8,29.2,33.6,10.2,10.9,""
"Cajun Whole Eggs with Wholewheat Pasta & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,396,413,4,25.7,28.7,30.4,34.5,19.6,18.4,""
"BBQ Chicken Breast with Soba Noodles & Peas","20260702000001_seed_owner_meals.sql",apply,2,422,478,13,52.9,58.5,25,35,11.1,11.3,""
"Indian-spiced Paneer with Butter Beans & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,565,597,6,35,37.2,23.2,25.1,38.9,39.1,""
"Moroccan-spiced Cooked Chickpeas with White Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,402,408,1,15.3,16.2,59.8,63.4,11,11.3,""
"Indian-spiced Haddock Fillet with White Basmati Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,343,336,-2,35.9,30.3,28.6,37.5,6.6,7,""
"Mexican-style Egg Whites with Sweet Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,241,247,2,19.9,23.2,25.2,25.6,5.8,6.6,""
"Teriyaki Pork Tenderloin with Quinoa & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,406,454,12,45.5,48.1,24.9,33.1,12,14.1,""
"Mexican-style Lamb Leg with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,433,449,4,40.9,42.7,24.1,23.9,19,21.1,""
"Cajun Pork Tenderloin with Butter Beans & Kale","20260702000001_seed_owner_meals.sql",apply,2,384,388,1,45.3,46.6,19.3,18.9,12.7,14.2,""
"BBQ Quorn Mince with Bulgur Wheat & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,290,287,-1,26.3,28.8,28.4,31,8,6.6,""
"Moroccan-spiced Black Beans with White Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,350,347,-1,17.4,18.7,57.5,58,5.8,6.1,""
"Teriyaki Salmon Fillet with White Basmati Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,486,534,10,42.4,38.6,26.6,34.1,23.1,25.5,""
"Asian-inspired Mackerel with Wholewheat Tortilla Wrap & Courgette","20260702000001_seed_owner_meals.sql",apply,2,458,579,26,33.5,37.2,20.6,32.3,25,32.8,""
"Lemon herb Egg Whites with White Potato & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,234,251,7,18.3,19.4,20.4,26.3,7.4,7.5,""
"Italian herb Tempeh with Wholewheat Pasta & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,473,495,5,35,37.7,46,47.6,20.6,21.1,""
"Teriyaki Mackerel with Sweet Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,436,488,12,31.3,35,22.4,28,23,26.7,""
"Asian-inspired Quorn Mince with Sweet Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,279,338,21,23.8,26.2,29.9,35.4,6.7,10.6,""
"Peri-peri Cod Fillet with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,330,407,23,40.5,41.5,21.5,41.1,7.3,9.1,""
"Mexican-style Lamb Leg with Butter Beans & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,404,409,1,45.2,45.1,19.7,17.6,16.1,17.9,""
"Lemon herb 0% Greek Yogurt with Brown Rice & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,273,291,7,19.8,22.2,32.1,38.5,6.4,6.6,""
"Italian herb Quorn Mince with Butter Beans & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,319,291,-9,29.3,29.2,28.9,26.2,10.4,8.8,""
"Garlic & chilli Black Beans with Sweet Potato & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,341,347,2,17.4,20.8,58.1,59.4,4.1,4.5,""
"Cajun Seitan with Soba Noodles & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,459,397,-14,43.6,46.7,46,34.4,8.7,8.9,""
"Garlic & chilli Haddock Fillet with Soba Noodles & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,303,272,-10,38.4,34.8,23,24.6,4.5,4.6,""
"Cajun King Prawns with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,296,291,-2,40.7,38.1,17.1,18.3,6.7,8.8,""
"Italian herb Whole Eggs with Couscous & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,416,396,-5,25,27.6,28.6,27.3,21.7,19.7,""
"Moroccan-spiced Haddock Fillet with Butter Beans & Carrots","20260702000001_seed_owner_meals.sql",apply,2,283,254,-10,39.2,31.2,19.7,25,3.5,3.3,""
"Mexican-style Mackerel with Soba Noodles & Peas","20260702000001_seed_owner_meals.sql",apply,2,483,547,13,32.9,38.9,22.9,33.8,28.1,28.9,""
"BBQ Tempeh with Brown Rice & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,454,462,2,33.3,37.8,38.3,38.5,20.6,21.1,""
"Asian-inspired Quorn Mince with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,291,440,51,26.3,37.2,27.2,44.2,7.9,13.4,""
"Indian-spiced Cooked Lentils with Brown Rice & Kale","20260702000001_seed_owner_meals.sql",apply,2,326,354,9,17.2,20.6,55.1,59.1,3.5,5.5,""
"Garlic & chilli Paneer with Rolled Oats & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,546,594,9,30.9,35.2,18.7,23.9,39.7,39.9,""
"Mexican-style Cod Fillet with Couscous & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,324,290,-10,40.4,34.2,24.8,25.6,4.5,5.2,""
"BBQ Haddock Fillet with White Basmati Rice & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,340,304,-11,36,29.9,28.7,31.3,6.2,6.2,""
"Teriyaki Pork Tenderloin with Rye Bread & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,381,566,49,42.2,47.7,18.4,52.9,13.2,17,""
"Mexican-style Tempeh with Quinoa & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,480,487,1,35,38.7,38.4,38.2,23.2,24,""
"BBQ Cottage Cheese with Quinoa & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,306,285,-7,21.9,23.8,28.4,30.8,10.3,7.6,""
"Garlic & chilli Lamb Leg with Sweet Potato & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,251,275,10,21.2,24.2,14.7,18.8,11.7,12.9,""
"Mexican-style Salmon Fillet with Butter Beans & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,276,269,-3,23.4,19.6,13.5,13,15.1,15.5,""
"Indian-spiced Edamame with White Basmati Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,232,233,0,9.9,11.7,22,22.8,11.1,11.8,""
"Lemon herb Cod Fillet with Couscous & Kale","20260702000001_seed_owner_meals.sql",apply,2,202,196,-3,20.5,19.5,15.9,16.8,5.1,6.7,""
"Mediterranean Paneer with White Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,327,355,9,16.9,21.6,13.9,16.6,23,23.5,""
"Mexican-style Quorn Mince with Bulgur Wheat & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,197,206,5,14.9,18.3,17.4,20.4,7.5,7.4,""
"Indian-spiced Black Beans with Wholewheat Tortilla Wrap & Courgette","20260702000001_seed_owner_meals.sql",apply,2,236,309,31,8.8,12.3,30.4,42,8.3,10.9,""
"Peri-peri Tuna Steak with Soba Noodles & Kale","20260702000001_seed_owner_meals.sql",apply,2,229,224,-2,27.7,27,14.4,15.9,6.2,7,""
"Cajun Chicken Breast with Wholewheat Tortilla Wrap & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,262,347,32,28.4,33.3,13.3,28.3,9.2,11.6,""
"Mediterranean 0% Greek Yogurt with Butter Beans & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,158,159,1,12.5,13.1,17.9,20.4,3.6,3.9,""
"Lemon herb Black Beans with Quinoa & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,238,238,0,10.7,13.5,33.7,34,6.6,7,""
"Garlic & chilli Turkey Breast with Wholewheat Pasta & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,223,219,-2,27.8,24.9,14.9,18.4,4.9,5.2,""
"Teriyaki Turkey Breast with Wholewheat Tortilla Wrap & Kale","20260702000001_seed_owner_meals.sql",apply,2,203,312,54,26.2,27.7,11.6,28.9,4.2,9.6,""
"Asian-inspired Mackerel with Couscous & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,292,334,14,18.8,20.2,15.4,15.6,16.2,21.6,""
"Mexican-style Chicken Breast with Bulgur Wheat & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,217,239,10,27.4,28.9,11.8,18.2,5.1,5.6,""
"Italian herb Paneer with Wholegrain Bread & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,335,410,22,18.6,24.5,13.8,24.8,23.2,24.1,""
"Garlic & chilli Tuna Steak with Wholewheat Tortilla Wrap & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,215,279,30,27.3,27.9,11.3,25.9,5.3,6.8,""
"Teriyaki Mackerel with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,258,297,15,18.7,22.6,8.9,13.4,15,17.4,""
"Teriyaki Tuna Steak with Couscous & Peas","20260702000001_seed_owner_meals.sql",apply,2,224,304,36,26.4,28.9,17.4,32.6,4.2,6,""
"Asian-inspired Cottage Cheese with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,203,236,16,12.5,14.1,17.2,18.4,9,12.7,""
"Asian-inspired Cod Fillet with Bulgur Wheat & Courgette","20260702000001_seed_owner_meals.sql",apply,2,203,229,13,21.6,19.5,13.5,13.4,6,11.5,""
"Asian-inspired Edamame with Quinoa & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,231,289,25,12.6,15.9,22.5,25.2,10.2,15.6,""
"BBQ Firm Tofu with Soba Noodles & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,228,226,-1,17.3,20.2,18.2,18.4,10.4,10.5,""
"BBQ Firm Tofu with White Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,229,221,-3,16.5,17.9,14.6,14.1,12.2,12.2,""
"BBQ Haddock Fillet with Soba Noodles & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,192,162,-16,20.5,17.5,16.6,16.2,3.7,3.6,""
"Teriyaki Firm Tofu with Soba Noodles & Carrots","20260702000001_seed_owner_meals.sql",apply,2,242,300,24,15.6,17.3,14,25.4,14.3,16.2,""
"Teriyaki Turkey Breast with Rolled Oats & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,223,254,14,24.2,22.6,8.8,17.1,8.8,10.9,""
"Garlic & chilli Egg Whites with Wholewheat Pasta & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,174,192,10,13,15.8,17.6,21.2,5.6,5.9,""
"Cajun Cottage Cheese with Wholewheat Tortilla Wrap & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,196,262,34,12.1,17.3,18.1,31.1,7.5,8.4,""
"Moroccan-spiced Edamame with Butter Beans & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,199,214,8,14.1,15.2,18.9,24.1,7.5,7.7,""
"Asian-inspired King Prawns with Bulgur Wheat & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,315,350,11,31,30.9,39,39.3,4.3,10,""
"Italian herb Paneer with White Basmati Rice & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,545,598,10,22.3,26.2,45.2,55.3,29.5,29.6,""
"Garlic & chilli Cooked Lentils with Soba Noodles & Carrots","20260702000001_seed_owner_meals.sql",apply,2,370,395,7,19.8,21.4,60,67.6,6.9,6.8,""
"BBQ Lean Beef Mince (5%) with Rolled Oats & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,374,465,24,30.8,31.1,23.2,28.5,16.2,24.3,""
"Mexican-style Lamb Leg with Wholegrain Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,412,470,14,34.9,39.8,31.4,39.8,15.2,17.4,""
"Mexican-style Mackerel with White Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,417,435,4,23,26.3,34.8,35.9,20.1,22.1,""
"Teriyaki Lamb Leg with Brown Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,454,530,17,31.7,35.2,43.4,55.7,16.4,19.9,""
"Asian-inspired Lamb Leg with Brown Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,446,533,20,29.2,32.6,40.8,48.5,17.4,24.1,""
"Teriyaki Egg Whites with Butter Beans & Carrots","20260702000001_seed_owner_meals.sql",apply,2,283,320,13,24.2,22.6,36.9,44.4,4.7,6.4,""
"Moroccan-spiced Tempeh with Wholewheat Pasta & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,485,544,12,30,34.8,58.8,65.9,18.8,19.8,""
"Moroccan-spiced Pork Tenderloin with Wholewheat Pasta & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,437,498,14,37.5,40.3,49.6,59.4,11.3,12.2,""
"Asian-inspired Cooked Lentils with Brown Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,369,428,16,16.2,17.7,61,66,5.8,11.3,""
"Moroccan-spiced Chicken Breast with Butter Beans & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,407,389,-4,44.7,44.3,33.8,31.7,10.4,10.3,""
"Garlic & chilli Edamame with Wholewheat Tortilla Wrap & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,370,385,4,20.4,22.6,43,46.2,12.6,13.5,""
"BBQ Paneer with White Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,477,509,7,22,25,36,40,28.2,28.5,""
"Moroccan-spiced Cooked Lentils with Bulgur Wheat & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,338,333,-1,14.8,15.5,57.4,59,6.7,6.8,""
"Mexican-style Firm Tofu with Rye Bread & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,381,445,17,24.8,26.9,34.1,48.2,17.1,18.4,""
"Teriyaki Pork Tenderloin with Couscous & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,396,432,9,35.1,38.1,41,46.1,7.8,9.9,""
"Peri-peri Quorn Mince with White Basmati Rice & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,377,403,7,20.4,22,54,64.7,7.2,6.3,""
"Teriyaki Salmon Fillet with Bulgur Wheat & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,424,461,9,32,30,38.8,44.5,17,19.1,""
"Moroccan-spiced Pork Tenderloin with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,343,345,1,29.8,33.2,23.2,24.1,12.7,13.1,""
"Garlic & chilli Whole Eggs with White Basmati Rice & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,422,430,2,20.3,23.4,45.3,50.9,15.4,14.3,""
"Mexican-style Cod Fillet with Brown Rice & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,368,370,1,29.2,26.6,45.8,52.5,5.9,6.8,""
"Cajun Cod Fillet with Rolled Oats & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,314,294,-6,29.8,28.4,25.6,26,8.9,9.5,""
"Indian-spiced Firm Tofu with White Basmati Rice & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,432,455,5,23.8,25.2,48.6,57.1,15.5,15.9,""
"Lemon herb Egg Whites with Bulgur Wheat & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,268,268,0,18,20.9,39.5,40.4,4.2,4.7,""
"Mediterranean Cooked Chickpeas with Couscous & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,417,415,-0,18.1,19.1,68,69.2,6.9,7.2,""
"Cajun Black Beans with Bulgur Wheat & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,361,382,6,16,17.3,60.3,67.3,7.3,7.7,""
"Moroccan-spiced Cod Fillet with Soba Noodles & Courgette","20260702000001_seed_owner_meals.sql",apply,2,320,294,-8,32.5,29.1,38.1,38.8,3.7,3.7,""
"Cajun King Prawns with White Potato & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,319,316,-1,29.2,27.4,33.9,37.8,6.9,7.5,""
"Lemon herb Edamame with Soba Noodles & Courgette","20260702000001_seed_owner_meals.sql",apply,2,374,368,-2,21.4,23.9,50.2,48.9,11.5,11.7,""
"Mediterranean Lean Beef Mince (5%) with Wholegrain Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,430,546,27,36.3,41.2,33.7,40.6,15.7,24.4,""
"Peri-peri Haddock Fillet with Brown Rice & Kale","20260702000001_seed_owner_meals.sql",apply,2,375,380,1,27.2,25.6,43.3,49.6,8.5,10.1,""
"Mediterranean Edamame with Rolled Oats & Peas","20260702000001_seed_owner_meals.sql",apply,2,308,369,20,17.8,24.6,33.4,43.6,11.2,11.9,""
"Mexican-style 0% Greek Yogurt with White Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,271,272,0,14,15.6,38.4,39,6.6,7.2,""
"Lemon herb Cooked Chickpeas with Butter Beans & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,408,404,-1,22.2,19.9,60.7,63.4,9.9,9.5,""
"BBQ Cooked Lentils with Quinoa & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,391,397,2,18.1,20.7,62.6,64.9,7.2,7.5,""
"Mexican-style Cooked Chickpeas with Rye Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,401,468,17,16.8,19,59.1,72.7,10.7,12.4,""
"Mexican-style Turkey Breast with White Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,315,296,-6,33.9,31.1,31.7,32.6,4.2,4.7,""
"Peri-peri King Prawns with Butter Beans & Courgette","20260702000001_seed_owner_meals.sql",apply,2,335,295,-12,36,30,35,31.4,7.1,7.1,""
"Mexican-style Paneer with Couscous & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,539,583,8,26.6,30.8,44.6,50.7,28.3,28.9,""
"Peri-peri Tempeh with Soba Noodles & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,424,417,-2,29.8,31.9,46.8,46.1,15.4,15.2,""
"Cajun Turkey Breast with Quinoa & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,421,401,-5,38.6,35.7,40.2,41.3,10.5,10.9,""
"Mediterranean Cod Fillet with Rye Bread & Kale","20260702000001_seed_owner_meals.sql",apply,2,302,361,20,30.4,29.6,30.1,44.7,4.8,7.4,""
"Italian herb Lamb Leg with Sweet Potato & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,413,420,2,30.6,32.9,38.4,38.4,15.2,16.3,""
"Asian-inspired Paneer with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,519,634,22,27.9,35,34.8,43.1,30.2,36.1,""
"Peri-peri Paneer with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,492,518,5,21.4,24.8,40.8,42.8,28.2,28.4,""
"Teriyaki Lean Beef Mince (5%) with Wholegrain Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,416,573,38,35.9,41.1,36.2,48,13,23.7,""
"Mexican-style Egg Whites with Rye Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,287,354,23,19.3,21.6,32.9,46.5,7.8,9.5,""
"Lemon herb Cooked Chickpeas with Rolled Oats & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,373,368,-1,15.8,16.8,52.6,53.2,10.8,11.1,""
"Asian-inspired Egg Whites with Soba Noodles & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,284,342,20,21.8,25.5,38.5,41.4,4.6,9.8,""
"Mexican-style Cod Fillet with White Basmati Rice & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,388,382,-2,28.1,25.7,47.6,53,7.2,7.7,""
"Asian-inspired King Prawns with Butter Beans & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,320,343,7,38.2,34.2,31.6,30.9,5.1,10.3,""
"Indian-spiced Cottage Cheese with Bulgur Wheat & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,318,312,-2,16,17.3,37.2,41.6,11.6,10.4,""
"Mediterranean Salmon Fillet with Sweet Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,429,426,-1,29.6,26,41,41.5,16.9,17.3,""
"Teriyaki Chicken Breast with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,552,587,6,67.3,69.4,46.5,51.6,9.6,11.4,""
"Lemon herb Cottage Cheese with White Basmati Rice & Courgette","20260702000001_seed_owner_meals.sql",apply,2,516,503,-3,27.6,28.8,62.6,70.1,14.8,11.5,""
"Moroccan-spiced Firm Tofu with White Potato & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,470,481,2,36.3,39,42.1,47.5,18.9,18.7,""
"Asian-inspired Edamame with Rye Bread & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,450,526,17,28.7,32.2,54.5,58.4,13.5,19.9,""
"Garlic & chilli Egg Whites with White Basmati Rice & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,432,465,8,27.2,29.4,57.8,68.8,7.4,7.6,""
"Garlic & chilli Paneer with Sweet Potato & Peas","20260702000001_seed_owner_meals.sql",apply,2,743,864,16,38.1,47.5,48.8,64.7,45.8,46.2,""
"Lemon herb Tuna Steak with Soba Noodles & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,509,471,-7,65,58.2,46.2,48.8,6.9,5.4,""
"Garlic & chilli Lean Beef Mince (5%) with Bulgur Wheat & Courgette","20260702000001_seed_owner_meals.sql",apply,2,566,704,24,54.8,54.6,41.2,43.1,20,34.7,""
"Italian herb Lamb Leg with Quinoa & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,660,682,3,55.8,56.9,48.5,50.6,26.5,28.6,""
"Peri-peri Black Beans with Wholewheat Tortilla Wrap & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,555,509,-8,26.6,26.1,85.7,78.9,12,11.7,""
"Lemon herb Seitan with Soba Noodles & Kale","20260702000001_seed_owner_meals.sql",apply,2,629,553,-12,55.6,58.9,74.8,57.7,10.2,11.1,""
"Moroccan-spiced Quorn Mince with Bulgur Wheat & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,442,436,-1,34.4,37.3,52.6,55.1,11.8,10.3,""
"Mediterranean Haddock Fillet with Couscous & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,497,454,-9,47.9,42.7,52.6,53.3,7.5,7.7,""
"Indian-spiced Cooked Lentils with Wholegrain Bread & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,501,500,-0,27.3,30.9,76.6,75.2,9.5,10.1,""
"Italian herb Seitan with Wholewheat Tortilla Wrap & Kale","20260702000001_seed_owner_meals.sql",apply,2,619,497,-20,54.7,55.1,65.7,40.4,10.7,11.7,""
"Asian-inspired Egg Whites with White Basmati Rice & Carrots","20260702000001_seed_owner_meals.sql",apply,2,419,505,21,27.2,28.8,60.3,72.5,4.7,10.1,""
"Asian-inspired Salmon Fillet with Sweet Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,641,709,11,50.7,43.3,46.6,52.8,29.6,35,""
"Teriyaki Cod Fillet with White Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,430,423,-2,45.4,38.1,38,43.1,8.5,10.7,""
"Mexican-style Tempeh with Butter Beans & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,627,606,-3,50.6,51.7,56.7,50.2,27.3,27.4,""
"Peri-peri Edamame with Soba Noodles & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,505,509,1,30.4,33.7,67.6,68.5,15.6,15.9,""
"Mediterranean Cooked Chickpeas with Rye Bread & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,566,602,6,25.9,27.4,87.2,96,12.7,13.7,""
"Asian-inspired Black Beans with Sweet Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,496,541,9,19.4,20.8,87.2,87.7,8.1,13.5,""
"BBQ Turkey Breast with White Potato & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,480,443,-8,58.2,50.6,43,44.2,6.6,6.9,""
"Italian herb Egg Whites with Wholewheat Pasta & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,437,500,14,33.4,35.9,61.7,69.6,8.6,9.6,""
"Cajun Black Beans with Butter Beans & Courgette","20260702000001_seed_owner_meals.sql",apply,2,519,491,-5,32.6,29.7,83.7,79.7,8.4,8.3,""
"Cajun 0% Greek Yogurt with Butter Beans & Kale","20260702000001_seed_owner_meals.sql",apply,2,347,337,-3,33.7,33.2,45,42.3,4.2,5.4,""
"BBQ Mackerel with Butter Beans & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,649,613,-6,51.2,47.7,40.4,35.8,32,31.7,""
"Peri-peri Cooked Chickpeas with White Basmati Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,634,645,2,23.6,24.2,105.1,111.8,11.8,11.9,""
"Indian-spiced Edamame with White Basmati Rice & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,555,578,4,28.2,33.5,74.4,78.6,15.6,16.7,""
"BBQ Tempeh with Brown Rice & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,665,677,2,42.4,45.1,68.6,71.7,27.6,27.9,""
"BBQ Firm Tofu with Wholewheat Pasta & Carrots","20260702000001_seed_owner_meals.sql",apply,2,596,682,14,42,43.9,65.2,81,24.4,24.9,""
"Teriyaki Lamb Leg with White Potato & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,561,638,14,51,52.9,43,53.5,20.1,24,""
"BBQ Haddock Fillet with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,445,392,-12,43.5,36.5,46.6,45.5,7.3,7.3,""
"Asian-inspired Whole Eggs with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,515,556,8,30.7,33.8,32.6,32.9,28.6,32.6,""
